SkuID,UnitLength,UnitWidth,UnitHeight,UnitWeight,CaseQuantity,CaseLength,CaseWidth,CaseHeight,CaseWeight,,
"22,620RUB",153.7,118.2,1.3,15422,1,153.7,118.2,1.3,15422,,
"22,730RUB",153.7,119.4,1.3,17236,1,153.7,119.4,1.3,17236,,
"23,580RUB",124.5,95.3,1.3,5897,1,124.5,95.3,1.3,5897,,
"23,600RUB",135.9,116.9,1.3,8165,1,135.9,116.9,1.3,8165,,
"23,620RUB",155,119.4,1.3,12247,1,155,119.4,1.3,12247,,
"23,641RUB",15.8,11.5,36.9,590,4,34.8,25.4,19.4,2722,,
"23,645RUB",15.3,10.7,34.3,136,4,35.6,25.4,19.4,907,,
"23,647RUB",61,30.5,0.6,907,4,62.5,31.8,4.4,3629,,
"23,650RUB",33.1,33.1,5.1,907,4,34.3,19.1,34.8,3629,,
"23,657RUB",31.8,26.7,2.6,136,4,35.6,31,10.2,1814,,
"23,660RUB",61.5,17.8,0.6,227,4,63.5,19.1,6.4,1361,,
"23,671RUB",47,25.4,7.9,1134,4,48.3,26,33.3,2722,,
"23,677RUB",3.1,30.2,36.6,562,4,14.1,32.2,41.3,2685,,
"23,730RUB",155.5,120.7,1.3,6804,1,155.5,120.7,1.3,6804,,
"24,501RUB",43.2,32.3,33.1,1383,4,34.3,45,56.7,6282,,
"24,511RUB",44.8,10.2,14,2858,4,100.4,47,75,12247,,
"24,521RUB",46.5,45.5,14.3,3198,4,75,47,105.5,13608,,
"25,001RUB",25.7,26.2,19.4,1021,4,53.6,40.2,27.7,4899,,
"25,010RUB",39.9,22.4,3.4,91,12,41.7,19.1,26.2,1928,,
"25,021RUB",26,25.4,18.8,807,4,39.4,53.4,27,4105,,
"25,051RUB",42,22.4,36.1,1225,6,41.7,23.9,71.9,8414,,
"25,231RUB",41.5,36.4,41.5,2608,1,41.5,36.4,41.5,2608,,
"25,238RUB",41.5,41.2,35.9,2676,1,41.5,41.2,35.9,2676,,
"25,241RUB",42.7,35.4,29,4445,1,42.7,35.4,29,4445,,
"25,431RUB",36.4,26,38.7,2200,6,46.4,36.2,61.6,14243,,
"26,015RUB",71.2,55.9,0.6,1111,6,73.7,50.8,5.6,5420,,
"26,221RUB",48.3,61,1.3,1057,6,7.7,49.1,61.8,6350,,
"26,231RUB",81.3,50.8,1.3,1315,6,81.3,50.8,5.9,8550,,
"28,301RUB",34.6,32.8,6.9,1157,6,42.2,34.1,36.6,7688,,
"28,303RUB",34.6,32.8,6.9,1179,6,41.7,34.1,36.6,7870,,
"29,267RUB",29.5,26.7,17.8,227,12,62.3,30.5,28.5,4150,,
"29,441RUB",32.1,28.2,10,826,3,33.3,29.3,30.3,2953,,
"29,551RUB",30,28.2,20.4,476,12,62.8,31.8,22.1,6396,,
"29,560RUB",36.6,26.2,40.7,680,12,38.1,27.5,78,9321,,
"29,561RUB",35.1,37.9,26,748,12,38.1,77.5,29.3,9140,,
"29,568RUB",33.1,23.4,40.7,726,12,27.7,37.6,80.3,9571,,
"29,570RUB",37.9,27.7,50.1,998,12,39.7,30.8,84.6,13268,,
"29,571RUB",38.4,27.7,50.1,975,12,39.7,30.8,84.6,13154,,
"29,578RUB",40.7,29.3,50.8,1134,12,39.1,29.3,84.2,13767,,
"29,666RUB",36.6,26.2,37.6,658,12,37.8,27.7,76.9,9548,,
"29,866RUB",27.5,21.9,17.6,612,6,54.7,24.4,51.1,3629,,
"29,876RUB",31.3,22.4,14,386,6,30.5,25.7,34.6,3742,,
"29,880RUB",18.1,10,9.2,159,6,29,20.4,19.6,1338,,
"29,881RUB",16.8,17.1,16.3,476,4,32.3,32.3,16.8,2404,,
"29,882RUB",21.1,20.1,17.1,4196,4,31.8,31.8,20.6,4196,,
"29,883RUB",15.3,15.3,15.3,454,4,31.8,31.3,16.6,1814,,
"29,884RUB",19.1,15.3,15.3,953,4,32.1,31.8,20.9,4286,,
"29,886RUB",44.2,22.7,20.9,635,6,46.3,40.7,33.8,4581,,
"29,891RUB",15.8,15.3,15.5,295,4,32.3,31.8,17.3,1610,,
"29,892RUB",16.6,15.3,15.3,481,4,31.5,31.5,20.4,2427,,
"29,893RUB",31.3,15.5,15.3,522,4,31,15.6,61.5,1814,,
"29,894RUB",30.5,31,23.7,1179,6,74.2,42,32.1,7348,,
"29,895RUB",33.1,30.5,11.7,1270,6,42,37.9,32.3,5398,,
"29,993RUB",36.9,24.7,3.9,658,4,43.5,28,17.1,3311,,
"29,994RUB",37.6,25.7,3.6,703,4,43.2,27.7,17.1,3402,,
"33,986RUB",22.9,22.9,9.7,862,6,27.2,24.7,32.3,2291,,
"35,090RUB",41.7,33.6,11.5,1343,4,47,36.1,44,6092,,
"35,190RUB",33.6,22.1,4.9,395,6,29.3,23.7,35.4,2722,,
"354,006RUB",26.7,50.8,73.7,3856,4,30.5,52.1,129.6,15422,,
"38,386RUB",19.6,20.4,16.6,272,4,41.7,34.3,18.3,1724,,
"38,686RUB",23.2,14,12,268,4,29.8,23.9,26,1433,,
"38,906RUB",58.5,34.3,26.7,1361,3,59,35.6,71.2,6350,,
"38,916RUB",17.6,11.7,14.5,204,4,34.8,32.8,14,1270,,
"38,986RUB",15.3,15.3,15.3,209,4,31.3,18.8,16.6,1139,,
"39,346RUB",41.2,29,16.6,953,6,59.7,54.2,45.5,7053,,
"39,360RUB",36.1,30,15.8,1656,4,60.8,40.2,36.9,7802,,
"39,506RUB",32.6,28.5,16.3,703,4,37.6,35.4,59.5,3651,,
"39,606RUB",32.6,28.5,24.7,953,4,58.5,36.2,59.7,3629,,
"39,706RUB",14.3,9.7,8.2,82,6,26,16.1,20.4,499,,
"39,806RUB",17.6,12.2,10.2,68,6,33.8,18.8,26.2,953,,
"39,906RUB",22.9,14.8,13,159,3,41.2,24.4,16.8,907,,
"4,603RUB",49.6,33.8,8.7,2699,4,50.8,35.3,34,10410,,
"4,653RUB",47.3,35.6,11.2,2676,4,37.1,46.5,49.3,11544,,
"4,803RUB",37.4,31.8,21.6,2245,8,75.6,43.9,64.7,18144,,
"40,406RUB",29.8,24.7,7.2,181,6,40.7,25.4,24.2,1656,,
"40,580RUB",124.5,95.3,1.3,7257,1,124.5,95.3,1.3,7257,,
"40,600RUB",137.2,116.9,1.3,9525,1,137.2,116.9,1.3,9525,,
"40,606RUB",29,26.5,14.8,295,6,49.8,41.5,25.4,2359,,
"40,620RUB",155,119.4,1.3,11340,1,155,119.4,1.3,11340,,
"40,730RUB",155,119.4,1.3,12247,1,155,119.4,1.3,12247,,
"42,001RUB",43.7,17.3,13.5,1338,1,43.7,17.3,13.5,1338,,
"42,006RUB",31.3,38.9,23.2,862,6,47.5,40.4,33.1,5987,,
"42,101RUB",44.2,20.4,16.3,1905,1,44.2,20.4,16.3,1905,,
"42,130,000RUB",31,25.7,12.2,1860,4,49.8,27,32.6,7983,,
"42,201RUB",45.5,26.7,19.1,3198,1,45.5,26.7,19.1,3198,,
"42,221RUB",47,46.8,39.7,2223,4,47.8,49.6,67.4,10455,,
"42,686RUB",37.8,34.3,61,3629,1,37.8,34.3,61,3629,,
"44,000RUB",11.7,9.7,3.4,159,12,21.6,20.1,15.9,1996,,
"44,706RUB",64.3,34.3,27,1656,2,67.9,57.7,38.1,4717,,
"44,806RUB",42.7,34.8,28.8,816,3,60,44.5,36.9,3447,,
"45,106RUB",32.6,22.9,15.3,426,4,35.1,24.2,33.1,2195,,
"45,580RUB",124.5,95.3,1.3,7257,1,124.5,95.3,1.3,7257,,
"45,600RUB",137.2,115.6,1.3,9979,1,137.2,115.6,1.3,9979,,
"45,620RUB",153.7,119.4,1.3,11340,1,153.7,119.4,1.3,11340,,
"45,706RUB",35.6,22.9,2.6,222,6,37.4,25.2,18.8,1683,,
"45,730RUB",155,116.9,1.3,13154,1,155,116.9,1.3,13154,,
"45,806RUB",9.4,7.2,5.9,41,6,22.4,18.3,11.5,490,,
"45,906RUB",13.3,10.2,9.4,91,6,32.6,20.4,14,826,,
"46,106RUB",33.1,22.7,7.2,204,12,36.9,50.8,26.7,3048,,
"46,606RUB",33.6,23.2,28.5,794,4,36.4,53.9,59,4559,,
"47,014RUB",33.6,21.6,20.6,885,4,43.5,34.8,42.7,4196,,
"47,021RUB",34.1,21.4,21.1,771,4,43.2,34.3,42,4990,,
"47,081RUB",33.6,21.6,20.6,857,4,43.2,34.6,42.7,4055,,
"47,086RUB",33.6,21.9,20.9,885,4,43.5,35.1,42.7,4309,,
"47,506RUB",29.5,26.2,13.3,522,4,51.1,31.8,28.2,2994,,
"47,514RUB",31.3,26.5,14,567,4,51.6,31.5,28,3152,,
"48,006RUB",33.1,23.5,16.6,454,4,49.6,35,34.3,4536,,
"48,016RUB",35.9,23.4,26,839,4,49.6,35.9,25.2,2722,,
"48,306RUB",36.9,27.7,28.2,1520,1,36.9,27.7,28.2,1520,,
"48,706RUB",34.3,18.6,11.2,340,4,37.4,24.4,37.1,1746,,
"48,714RUB",34.3,18.6,11.2,340,4,37.4,24.4,37.1,1746,,
"48,721RUB",34.3,18.6,11.2,340,4,37.4,24.4,37.1,1746,,
"48,906RUB",36.4,34.3,25.4,907,1,36.4,34.3,25.4,907,,
"49,306RUB",15.8,16.3,15,227,4,31.5,16.3,18.8,1111,,
"5,529RUB",35.1,40.9,40.9,3470,1,35.1,40.9,40.9,3470,,
"50,406RUB",10.2,4.6,3.4,23,0,0,0,0,0,,
"50,414RUB",10,4.9,3.1,18,0,0,0,0,0,,
"51,514RUB",33.6,19.6,13.8,522,3,43,34.6,21.1,2087,,
"51,521RUB",33.6,19.6,14,522,3,43.2,34.1,21.4,2109,,
"53,106RUB",33.3,24.2,7.7,204,12,37.9,28,64.6,3447,,
"53,206RUB",32.8,26.5,7.4,227,4,36.9,30.3,22.9,1497,,
"53,306RUB",41.2,24.4,7.4,249,6,43.7,28.8,32.8,2177,,
"54,106RUB",28.8,18.1,7.2,91,0,0,0,0,0,,
"54,618RUB",13.4,21,6.4,172,12,29,24.2,42,2114,,
"54,640RUB",21.1,13.5,6.7,113,12,43.5,24.2,27.2,1928,,
"56,900RUB",31,24.2,20.6,544,4,44.2,34.1,50.1,2880,,
"571,297RUB",50.8,38.1,34.3,1588,6,59.7,52.1,40.7,9525,,
"6,203RUB",56.2,34.6,6.4,2223,6,39.2,36.4,58.7,14424,,
"60,553RUB",64.3,39.2,10,4241,3,28.8,40.2,67.4,13608,,
"61,023RUB",61,48.8,0.8,907,6,62.3,49.6,3.4,5443,,
"61,025RUB",48.3,61,0.2,735,6,5,62.9,49.3,4423,,
"61,033RUB",92.8,50.1,0.3,1814,6,92.1,50.8,3.9,7257,,
"61,035RUB",91.5,49.1,7.7,998,6,92,49.6,3.9,6804,,
"611,200RUB",28.8,66.3,3.9,1361,6,24.2,67.4,29.5,8165,,
"614,000RUB",35.1,28.8,14.8,1247,1,35.1,28.8,14.8,1247,,
"614,100RUB",30.5,25.4,15.3,1814,1,30.5,25.4,15.3,1814,,
"62,303RUB",11.2,15,25.1,794,12,41.3,34.3,62.9,10342,,
"62,413RUB",30.3,21.9,9.7,2404,6,45,31,31.5,15286,,
"638,100RUB",132.1,25.4,5.1,680,12,147.4,53.4,14,9979,,
"64,422RUB",124.5,95.3,1.3,7711,1,124.5,95.3,1.3,7711,,
"64,425RUB",135.9,116.9,1.3,6350,1,135.9,116.9,1.3,6350,,
"64,429RUB",155,119.4,1.3,12247,1,155,119.4,1.3,12247,,
"64,483RUB",185.5,157.5,1.1,6804,1,185.5,157.5,1.1,6804,,
"65,668RUB",38.1,28.8,10.2,1089,6,61.6,29.9,40.7,7620,,
"65,837RUB",46,34.1,10,1678,6,35.9,60.5,47.8,11453,,
"65,970RUB",35.1,18.3,8.9,408,4,37.6,36.1,18.3,1950,,
"65,972RUB",35.1,18.6,8.7,386,4,37.4,35.9,18.3,1950,,
"65,974RUB",35.1,21.1,18.3,1043,4,36.6,43,37.1,4808,,
